Freq.	V(vout)
6.29462705897066e+04	(1.69664053011000e+01dB,1.33987311244844e+02°)
6.59128369278185e+04	(1.67607697266855e+01dB,1.32628351697074e+02°)
6.90192132301423e+04	(1.65459574736912e+01dB,1.31270613147968e+02°)
7.22719885372943e+04	(1.63220317705476e+01dB,1.29916761783247e+02°)
7.56780624218082e+04	(1.60890933980484e+01dB,1.28569398184923e+02°)
7.92446596230534e+04	(1.58472790410537e+01dB,1.27231030162277e+02°)
8.29793453718756e+04	(1.55967590927702e+01dB,1.25904047762766e+02°)
8.68900414374662e+04	(1.53377349859013e+01dB,1.24590701001603e+02°)
9.09850429304965e+04	(1.50704361377046e+01dB,1.23293080729568e+02°)
9.52730358981595e+04	(1.47951166040568e+01dB,1.22013102927516e+02°)
9.97631157484410e+04	(1.45120515408782e+01dB,1.20752496581486e+02°)
1.00000000000000e+05	(1.44972693846292e+01dB,1.20688129397354e+02°)
