time	V(vout)
4.872898126029940e-03	-6.401387e+00
4.882663751029940e-03	-6.019361e+00
4.892429376029940e-03	-5.614695e+00
4.902195001029940e-03	-5.188908e+00
4.911960626029940e-03	-4.743600e+00
4.921726251029939e-03	-4.280445e+00
4.931491876029939e-03	-3.801181e+00
4.941257501029939e-03	-3.307610e+00
4.951023126029939e-03	-2.801585e+00
4.960788751029939e-03	-2.285009e+00
4.970554376029938e-03	-1.759821e+00
4.980320001029938e-03	-1.227998e+00
4.990085626029938e-03	-6.915371e-01
4.999851251029938e-03	-1.524577e-01
5.009616876029938e-03	3.872124e-01
5.019382501029937e-03	9.254417e-01
5.029148126029937e-03	1.460204e+00
5.038913751029937e-03	1.989485e+00
5.048679376029937e-03	2.511291e+00
5.058445001029937e-03	3.023655e+00
5.068210626029936e-03	3.524647e+00
5.077976251029936e-03	4.012379e+00
5.087741876029936e-03	4.485011e+00
5.097507501029936e-03	4.940763e+00
5.107273126029935e-03	5.377917e+00
5.117038751029935e-03	5.794856e+00
5.136570001029935e-03	6.562372e+00
5.156101251029934e-03	7.230994e+00
5.175632501029934e-03	7.790690e+00
5.195163751029934e-03	8.233065e+00
5.214695001029933e-03	8.551496e+00
5.234226251029933e-03	8.741229e+00
5.253757501029932e-03	8.799453e+00
5.273288751029932e-03	8.725335e+00
5.292820001029932e-03	8.520035e+00
5.312351251029931e-03	8.186684e+00
5.331882501029931e-03	7.730331e+00
5.351413751029930e-03	7.157872e+00
5.370945001029930e-03	6.477943e+00
5.390476251029929e-03	5.700796e+00
5.400241876029929e-03	5.279130e+00
5.410007501029929e-03	4.837433e+00
5.419773126029929e-03	4.377590e+00
5.429538751029929e-03	3.901263e+00
5.439304376029928e-03	3.410261e+00
5.449070001029928e-03	2.906425e+00
5.458835626029928e-03	2.391651e+00
5.468601251029928e-03	1.867871e+00
5.478366876029928e-03	1.337056e+00
5.488132501029927e-03	8.012014e-01
5.497898126029927e-03	2.623221e-01
5.507663751029927e-03	-2.775543e-01
5.517429376029927e-03	-8.163962e-01
5.527195001029927e-03	-1.352175e+00
